from,to,relationship,year
fb,eu,3,
tl,eu,3,
fb,hebs,3,
fb,afsj,2,2013
fb,aa,2,2013
fb,euga,2,2009
fb,aag,2,2009
fb,uma,7,2010
rs,kfw,3,2017
rs,bum,2,2013
ck,afvi,2,2013
co,afvi,2,2017
ck,eha,2,2017
ck,utue,6,2009
ck,utue,7,
ck,bum,2,2021
co,seep,3,2021
co,hebs,3,2021
co,gssf,3,2021
co,ths,3,2018
co,afwe,2,2013
co,ldg,2,1989
co,euga,2,2004
co,aag,2,2004
mt,ths,3,2018
mt,seep,3,2018
mt,kfw,3,2020
mt,eu,3,
mt,eha,2,2011
mt,afwe,2,2017
mt,julis,2,1983
mt,lvfdp,2,1991
mt,bvfdp,2,2003
mt,fdpbtf,2,2017
fb,eha,2,2009
mt,eha,2,2014
mt,afvi,2,
tl,hha,2,2013
tl,usa,2,2017
ft,kfw,3,2020
ft,gssf,3,2021
ft,eu,3,
ft,eha,2,2009
ft,fdpbtf,2,2011
ft,bvfdp,2,2020
ft,julis,2,2003
ft,utue,7,2012
bs,eu,3,
bs,usa,2,2017
bs,julis,2,2005
bs,lvfdp,2,2013
jb,fdpbtf,2,2017
jb,afsj,2,2017
jb,eu,3,
jb,uma,7,2003
