id,name_short,name,sex,religion,birth,education,position,kids,subject,party,twitter,youtube,facebook,Instagram,type
co,Oezdemir,Cem Oezdemir,2,,1965,1,1,2,3,Grüne,317.191,,162.573,105.000,0
bs,Strasser,Benjamin Strasser,2,2,1987,3,2,,2,FDP,5.811,287,3.372,3.935,0
ft,Toncar,Florian Toncar,2,1,1979,2,2,3,2,FDP,8.587,99,4.478,3.072,0
fb,Brantner,Franziska Brantner,1,,1979,2,2,1,1,Grüne,14.037,26,2.747,4.478,0
rs,Schwarzeluehr-Sutter,Rita Schwarzeluehr-Sutter,1,2,1962,1,2,2,4,SPD,4.250,,2.941,1.536,0
jb,Brandenburg,Jens Brandenburg,2,,1986,2,2,,3,FDP,5.406,,,3.332,0
tl,Lindner,Tobias Lindner,2,,1982,2,1,,4,Grüne,10.500,,4.920,3.610,0
mt,Theurer,Michael Theurer,2,1,1967,1,2,2,4,FDP,8.477,,27.913,3.745,0
ck,Kuehn,Christian Kuehn,2,1,1979,4,2,3,1,Grüne,4.786,35,97,1.663,0
eu,,Europa-Union,,,,,,,,,,,,,1
hebs,,Heinrich-Boell-Stiftung,,,,,,,,,,,,,1
eha,,Europaeischer Haushaltsausschuss,,,,,,,,,,,,,1
usa,,Untersuchungsausschuss,,,,,,,,,,,,,1
bvfdp,,Bundesvorstand der FDP,,,,,,,,FDP,,,,,1
euga,,EU-Parlament der Fraktion Grüne/EFA,,,,,,,,Grüne,,,,,1
aa,,Auswaertiger Ausschuss,,,,,,,,,,,,,1
afsj,,"Ausschuss fuer Familien, Senioren, Frauen und Jugend",,,,,,,,,,,,,1
aag,,Ausschuss für auswaertige Angelegenheiten,,,,,,,,,,,,,1
gssf,,Gesellschaft zum Studium strukturpolitischer Fragen,,,,,,,,,,,,,1
utue,,Universität Tuebingen,,,,,,,,,,,,,1
ths,,Theodor-Heuss-Stiftung,,,,,,,,,,,,,1
afwe,,Ausschuss für Wirtschaft und Energie,,,,,,,,,,,,,1
kfw,,Kreditanstalt fuer Wiederaufbau,,,,,,,,,,,,,1
julis,,Junge Liberale,,,,,,,,FDP,,,,,1
ldg,,Landesvorstand der Gruenen,,,,,,,,Grüne,,,,,1
bum,,Bundesumweltsministerium,,,,,,,,,,,,,1
hha,,Haushaltsausschuss,,,,,,,,,,,,,1
lvfdp,,Landesvorstand der FDP,,,,,,,,FDP,,,,,1
seep,,Smart Energy for Europe Platform GmbH,,,,,,,,,,,,,1
fdpbtf,,FDP-Bundestagsfraktion,,,,,,,,FDP,,,,,1
uma,,Universität Mannheim,,,,,,,,,,,,,1
afvi,,Ausschuss fuer Verkehr und digitale Infrastruktur,,,,,,,,,,,,,1
